,submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
6560,11/04/2020,NY,249422,,,1331,0.0,9301,,,11,0.0,11/05/2020 02:39:23 PM,Not agree,Not agree
6561,09/06/2020,IL,251508,249580.0,1928.0,1403,0.0,8390,8171.0,219.0,5,0.0,09/07/2020 01:37:36 PM,Agree,Agree
6562,04/16/2020,OK,2359,2357.0,2.0,96,2.0,131,131.0,0.0,8,0.0,04/16/2020 04:22:39 PM,Agree,Agree
6563,09/08/2020,WY,4103,3483.0,620.0,71,13.0,42,42.0,0.0,0,0.0,09/09/2020 01:47:50 PM,Agree,Agree
6564,11/07/2020,WI,277503,263130.0,14373.0,7521,456.0,2381,2301.0,80.0,48,3.0,11/08/2020 02:40:34 PM,Agree,Agree
6565,04/18/2020,NM,1798,,,87,,53,,,2,,04/18/2020 04:22:39 PM,,Not agree
6566,07/11/2020,PA,95266,92552.0,2714.0,577,26.0,6904,,,7,4.0,07/12/2020 03:13:57 PM,Agree,Not agree
6567,05/18/2020,NY,158141,,,613,0.0,7496,,,48,0.0,05/19/2020 03:45:23 PM,Not agree,Not agree
6568,01/16/2021,PA,761777,672439.0,89338.0,7166,1248.0,19188,,,231,-23.0,01/17/2021 10:28:30 AM,Agree,Not agree
6569,03/05/2020,WI,1,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
6570,06/17/2020,AR,13606,,,415,0.0,197,,,9,0.0,06/18/2020 05:16:14 PM,Not agree,Not agree
6571,04/27/2020,WI,6081,6081.0,0.0,170,0.0,281,281.0,0.0,9,0.0,05/25/2020 03:38:40 PM,Agree,Agree
6572,09/23/2020,ID,38743,35363.0,3380.0,396,138.0,454,416.0,38.0,3,0.0,09/24/2020 01:54:02 PM,Agree,Agree
6573,05/04/2020,OR,2759,2745.0,14.0,79,14.0,109,109.0,0.0,0,0.0,05/05/2020 05:25:08 PM,Agree,Agree
6574,01/11/2021,IA,297301,,,821,343.0,4139,,,1,1.0,01/12/2021 02:48:35 PM,Not agree,Not agree
6575,09/14/2020,CO,61699,57453.0,4246.0,375,21.0,1990,1639.0,351.0,2,0.0,09/15/2020 02:03:59 PM,Agree,Agree
6576,01/25/2020,WI,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
6577,12/05/2020,OH,467432,442459.0,24973.0,10469,334.0,6946,6475.0,471.0,64,20.0,12/06/2020 02:51:16 PM,Agree,Agree
6578,08/14/2020,PA,122950,119512.0,3438.0,829,48.0,7445,,,36,-8.0,08/15/2020 02:02:05 PM,Agree,Not agree
